Date,Buy_cash,Buy_transfer,Sell
2021-07-03,22870.00,22900.00,23100.00
2021-07-04,22870.00,22900.00,23100.00
2021-07-05,22870.00,22900.00,23100.00
2021-07-06,22870.00,22900.00,23100.00
2021-07-07,22870.00,22900.00,23100.00
2021-07-08,22890.00,22920.00,23120.00
2021-07-09,22870.00,22900.00,23100.00
2021-07-10,22870.00,22900.00,23100.00
2021-07-11,22870.00,22900.00,23100.00
2021-07-12,22890.00,22920.00,23120.00
2021-07-13,22890.00,22920.00,23120.00
2021-07-14,22880.00,22910.00,23110.00
2021-07-15,22890.00,22920.00,23120.00
2021-07-16,22880.00,22910.00,23110.00
2021-07-17,22880.00,22910.00,23110.00
2021-07-18,22880.00,22910.00,23110.00
2021-07-19,22890.00,22920.00,23120.00
2021-07-20,22900.00,22930.00,23130.00
2021-07-21,22900.00,22930.00,23130.00
2021-07-22,22890.00,22920.00,23120.00
2021-07-23,22880.00,22910.00,23110.00
2021-07-24,22880.00,22910.00,23110.00
2021-07-25,22880.00,22910.00,23110.00
2021-07-26,22880.00,22910.00,23110.00
2021-07-27,22880.00,22910.00,23110.00
2021-07-28,22865.00,22895.00,23095.00
2021-07-29,22840.00,22870.00,23070.00
2021-07-30,22820.00,22850.00,23050.00
2021-07-31,22820.00,22850.00,23050.00
2021-08-01,22820.00,22850.00,23050.00
2021-08-02,22820.00,22850.00,23050.00
2021-08-03,22820.00,22850.00,23050.00
2021-08-04,22810.00,22840.00,23040.00
2021-08-05,22810.00,22840.00,23040.00
2021-08-06,22800.00,22830.00,23030.00
2021-08-07,22800.00,22830.00,23030.00
2021-08-08,22800.00,22830.00,23030.00
2021-08-09,22800.00,22830.00,23030.00
2021-08-10,22770.00,22800.00,23000.00
2021-08-11,22670.00,22700.00,22900.00
2021-08-12,22680.00,22710.00,22910.00
2021-08-13,22700.00,22730.00,22930.00
2021-08-14,22700.00,22730.00,22930.00
2021-08-15,22700.00,22730.00,22930.00
2021-08-16,22710.00,22740.00,22940.00
2021-08-17,22705.00,22735.00,22935.00
2021-08-18,22680.00,22710.00,22910.00
2021-08-19,22680.00,22710.00,22910.00
2021-08-20,22685.00,22715.00,22915.00
2021-08-21,22685.00,22715.00,22915.00
2021-08-22,22685.00,22715.00,22915.00
2021-08-23,22695.00,22725.00,22925.00
2021-08-24,22695.00,22725.00,22925.00
2021-08-25,22670.00,22700.00,22900.00
2021-08-26,22650.00,22680.00,22880.00
2021-08-27,22660.00,22690.00,22890.00
2021-08-28,22660.00,22690.00,22890.00
2021-08-29,22660.00,22690.00,22890.00
2021-08-30,22650.00,22680.00,22880.00
2021-08-31,22640.00,22670.00,22870.00
2021-09-01,22650.00,22680.00,22880.00
2021-09-02,22650.00,22680.00,22880.00
2021-09-03,22650.00,22680.00,22880.00
2021-09-04,22650.00,22680.00,22880.00
2021-09-05,22650.00,22680.00,22880.00
2021-09-06,22635.00,22665.00,22865.00
2021-09-07,22630.00,22660.00,22860.00
2021-09-08,22640.00,22670.00,22870.00
2021-09-09,22640.00,22670.00,22870.00
2021-09-10,22640.00,22670.00,22870.00
2021-09-11,22640.00,22670.00,22870.00
2021-09-12,22640.00,22670.00,22870.00
2021-09-13,22640.00,22670.00,22870.00
2021-09-14,22640.00,22670.00,22870.00
2021-09-15,22630.00,22660.00,22860.00
2021-09-16,22630.00,22660.00,22860.00
2021-09-17,22640.00,22670.00,22870.00
2021-09-18,22640.00,22670.00,22870.00
2021-09-19,22640.00,22670.00,22870.00
2021-09-20,22645.00,22675.00,22875.00
2021-09-21,22640.00,22670.00,22870.00
2021-09-22,22630.00,22660.00,22860.00
2021-09-23,22630.00,22660.00,22860.00
2021-09-24,22630.00,22660.00,22860.00
2021-09-25,22630.00,22660.00,22860.00
2021-09-26,22630.00,22660.00,22860.00
2021-09-27,22630.00,22660.00,22860.00
2021-09-28,22640.00,22670.00,22870.00
2021-09-29,22630.00,22660.00,22860.00
2021-09-30,22630.00,22660.00,22860.00
2021-10-01,22630.00,22660.00,22860.00
2021-10-02,22630.00,22660.00,22860.00
2021-10-03,22630.00,22660.00,22860.00
2021-10-04,22630.00,22660.00,22860.00
2021-10-05,22630.00,22660.00,22860.00
2021-10-06,22630.00,22660.00,22860.00
2021-10-07,22630.00,22660.00,22860.00
2021-10-08,22630.00,22660.00,22860.00
2021-10-09,22630.00,22660.00,22860.00
2021-10-10,22630.00,22660.00,22860.00
2021-10-11,22630.00,22660.00,22860.00
2021-10-12,22620.00,22650.00,22850.00
2021-10-13,22630.00,22660.00,22860.00
2021-10-14,22630.00,22660.00,22860.00
2021-10-15,22630.00,22660.00,22860.00
2021-10-16,22630.00,22660.00,22860.00
2021-10-17,22630.00,22660.00,22860.00
2021-10-18,22630.00,22660.00,22860.00
2021-10-19,22630.00,22660.00,22860.00
2021-10-20,22625.00,22655.00,22855.00
2021-10-21,22625.00,22655.00,22855.00
2021-10-22,22625.00,22655.00,22855.00
2021-10-23,22625.00,22655.00,22855.00
2021-10-24,22625.00,22655.00,22855.00
2021-10-25,22625.00,22655.00,22855.00
2021-10-26,22625.00,22655.00,22855.00
2021-10-27,22625.00,22655.00,22855.00
2021-10-28,22625.00,22655.00,22855.00
2021-10-29,22620.00,22650.00,22850.00
2021-10-30,22620.00,22650.00,22850.00
2021-10-31,22620.00,22650.00,22850.00
2021-11-01,22620.00,22650.00,22850.00
2021-11-02,22620.00,22650.00,22850.00
2021-11-03,22600.00,22630.00,22830.00
2021-11-04,22550.00,22580.00,22780.00
2021-11-05,22540.00,22570.00,22770.00
2021-11-06,22540.00,22570.00,22770.00
2021-11-07,22540.00,22570.00,22770.00
2021-11-08,22530.00,22560.00,22760.00
2021-11-09,22530.00,22560.00,22760.00
2021-11-10,22530.00,22560.00,22760.00
2021-11-11,22515.00,22545.00,22745.00
2021-11-12,22515.00,22545.00,22745.00
2021-11-13,22515.00,22545.00,22745.00
2021-11-14,22515.00,22545.00,22745.00
2021-11-15,22520.00,22550.00,22750.00
2021-11-16,22520.00,22550.00,22750.00
2021-11-17,22520.00,22550.00,22750.00
2021-11-18,22520.00,22550.00,22750.00
2021-11-19,22525.00,22555.00,22755.00
2021-11-20,22525.00,22555.00,22755.00
2021-11-21,22525.00,22555.00,22755.00
2021-11-22,22540.00,22570.00,22770.00
2021-11-23,22545.00,22575.00,22775.00
2021-11-24,22555.00,22585.00,22785.00
2021-11-25,22545.00,22575.00,22775.00
2021-11-26,22545.00,22575.00,22775.00
2021-11-27,22545.00,22575.00,22775.00
2021-11-28,22545.00,22575.00,22775.00
2021-11-29,22560.00,22590.00,22790.00
2021-11-30,22570.00,22600.00,22800.00
2021-12-01,22580.00,22610.00,22810.00
2021-12-02,22600.00,22630.00,22830.00
2021-12-03,22670.00,22700.00,22940.00
2021-12-04,22670.00,22700.00,22940.00
2021-12-05,22670.00,22700.00,22940.00
2021-12-06,22950.00,22980.00,23220.00
2021-12-07,22930.00,22960.00,23200.00
2021-12-08,22810.00,22840.00,23080.00
2021-12-09,22830.00,22860.00,23100.00
2021-12-10,22830.00,22860.00,23100.00
2021-12-11,22830.00,22860.00,23100.00
2021-12-12,22830.00,22860.00,23100.00
2021-12-13,22820.00,22850.00,23090.00
2021-12-14,22840.00,22870.00,23110.00
2021-12-15,22870.00,22900.00,23140.00
2021-12-16,22850.00,22880.00,23120.00
2021-12-17,22790.00,22820.00,23100.00
2021-12-18,22790.00,22820.00,23100.00
2021-12-19,22790.00,22820.00,23100.00
2021-12-20,22760.00,22790.00,23070.00
2021-12-21,22730.00,22760.00,23040.00
2021-12-22,22780.00,22810.00,23090.00
2021-12-23,22785.00,22815.00,23095.00
2021-12-24,22700.00,22730.00,23010.00
2021-12-25,22700.00,22730.00,23010.00
2021-12-26,22700.00,22730.00,23010.00
2021-12-27,22620.00,22650.00,22930.00
2021-12-28,22670.00,22700.00,22980.00
2021-12-29,22670.00,22700.00,22980.00
2021-12-30,22610.00,22640.00,22920.00
2021-12-31,22610.00,22640.00,22920.00
2022-01-01,22610.00,22640.00,22920.00
2022-01-02,22610.00,22640.00,22920.00
2022-01-03,22610.00,22640.00,22920.00
2022-01-04,22610.00,22640.00,22920.00
2022-01-05,22590.00,22620.00,22900.00
2022-01-06,22590.00,22620.00,22900.00
2022-01-07,22540.00,22570.00,22850.00
2022-01-08,22540.00,22570.00,22850.00
2022-01-09,22540.00,22570.00,22850.00
2022-01-10,22510.00,22540.00,22820.00
2022-01-11,22530.00,22560.00,22840.00
2022-01-12,22530.00,22560.00,22840.00
2022-01-13,22530.00,22560.00,22840.00
2022-01-14,22540.00,22570.00,22850.00
2022-01-15,22540.00,22570.00,22850.00
2022-01-16,22540.00,22570.00,22850.00
2022-01-17,22540.00,22570.00,22850.00
2022-01-18,22560.00,22590.00,22870.00
2022-01-19,22530.00,22560.00,22840.00
2022-01-20,22470.00,22500.00,22780.00
2022-01-21,22450.00,22480.00,22760.00
2022-01-22,22450.00,22480.00,22760.00
2022-01-23,22450.00,22480.00,22760.00
2022-01-24,22500.00,22530.00,22810.00
2022-01-25,22470.00,22500.00,22780.00
2022-01-26,22460.00,22490.00,22770.00
2022-01-27,22470.00,22500.00,22780.00
2022-01-28,22470.00,22500.00,22780.00
2022-01-29,22470.00,22500.00,22780.00
2022-01-30,22470.00,22500.00,22780.00
2022-01-31,22470.00,22500.00,22780.00
2022-02-01,22470.00,22500.00,22780.00
2022-02-02,22470.00,22500.00,22780.00
2022-02-03,22470.00,22500.00,22780.00
2022-02-04,22470.00,22500.00,22780.00
2022-02-05,22470.00,22500.00,22780.00
2022-02-06,22470.00,22500.00,22780.00
2022-02-07,22500.00,22530.00,22810.00
2022-02-08,22570.00,22600.00,22880.00
2022-02-09,22520.00,22550.00,22830.00
2022-02-10,22510.00,22540.00,22820.00
2022-02-11,22520.00,22550.00,22830.00
2022-02-12,22520.00,22550.00,22830.00
2022-02-13,22520.00,22550.00,22830.00
2022-02-14,22550.00,22580.00,22860.00
2022-02-15,22580.00,22610.00,22890.00
2022-02-16,22590.00,22620.00,22900.00
2022-02-17,22620.00,22650.00,22930.00
2022-02-18,22670.00,22700.00,22980.00
2022-02-19,22670.00,22700.00,22980.00
2022-02-20,22670.00,22700.00,22980.00
2022-02-21,22620.00,22650.00,22930.00
2022-02-22,22630.00,22660.00,22940.00
2022-02-23,22650.00,22680.00,22960.00
2022-02-24,22650.00,22680.00,22960.00
2022-02-25,22650.00,22680.00,22960.00
2022-02-26,22650.00,22680.00,22960.00
2022-02-27,22650.00,22680.00,22960.00
2022-02-28,22640.00,22670.00,22950.00
2022-03-01,22640.00,22670.00,22950.00
2022-03-02,22670.00,22700.00,22980.00
2022-03-03,22670.00,22700.00,22980.00
2022-03-04,22670.00,22700.00,22980.00
2022-03-05,22670.00,22700.00,22980.00
2022-03-06,22670.00,22700.00,22980.00
2022-03-07,22680.00,22710.00,22990.00
2022-03-08,22680.00,22710.00,22990.00
2022-03-09,22680.00,22710.00,22990.00
2022-03-10,22670.00,22700.00,22980.00
2022-03-11,22700.00,22730.00,23010.00
2022-03-12,22700.00,22730.00,23010.00
2022-03-13,22700.00,22730.00,23010.00
2022-03-14,22720.00,22750.00,23030.00
2022-03-15,22720.00,22750.00,23030.00
2022-03-16,22710.00,22740.00,23020.00
2022-03-17,22710.00,22740.00,23020.00
2022-03-18,22690.00,22720.00,23000.00
2022-03-19,22690.00,22720.00,23000.00
2022-03-20,22690.00,22720.00,23000.00
2022-03-21,22700.00,22730.00,23010.00
2022-03-22,22705.00,22735.00,23015.00
2022-03-23,22710.00,22740.00,23020.00
2022-03-24,22705.00,22735.00,23015.00
2022-03-25,22700.00,22730.00,23010.00
2022-03-26,22700.00,22730.00,23010.00
2022-03-27,22700.00,22730.00,23010.00
2022-03-28,22705.00,22735.00,23015.00
2022-03-29,22710.00,22740.00,23020.00
2022-03-30,22690.00,22720.00,23000.00
2022-03-31,22670.00,22700.00,22980.00
2022-04-01,22670.00,22700.00,22980.00
2022-04-02,22670.00,22700.00,22980.00
2022-04-03,22670.00,22700.00,22980.00
2022-04-04,22670.00,22700.00,22980.00
2022-04-05,22700.00,22730.00,23010.00
2022-04-06,22700.00,22730.00,23010.00
2022-04-07,22690.00,22720.00,23000.00
2022-04-08,22690.00,22720.00,23000.00
2022-04-09,22690.00,22720.00,23000.00
2022-04-10,22690.00,22720.00,23000.00
2022-04-11,22690.00,22720.00,23000.00
2022-04-12,22715.00,22745.00,23025.00
2022-04-13,22710.00,22740.00,23020.00
2022-04-14,22730.00,22760.00,23040.00
2022-04-15,22730.00,22760.00,23040.00
2022-04-16,22730.00,22760.00,23040.00
2022-04-17,22730.00,22760.00,23040.00
2022-04-18,22750.00,22780.00,23060.00
2022-04-19,22785.00,22815.00,23095.00
2022-04-20,22795.00,22825.00,23105.00
2022-04-21,22795.00,22825.00,23105.00
2022-04-22,22800.00,22830.00,23110.00
2022-04-23,22800.00,22830.00,23110.00
2022-04-24,22800.00,22830.00,23110.00
2022-04-25,22810.00,22840.00,23120.00
2022-04-26,22810.00,22840.00,23120.00
2022-04-27,22795.00,22825.00,23105.00
2022-04-28,22780.00,22810.00,23090.00
2022-04-29,22785.00,22815.00,23095.00
2022-04-30,22785.00,22815.00,23095.00
2022-05-01,22785.00,22815.00,23095.00
2022-05-02,22785.00,22815.00,23095.00
2022-05-03,22785.00,22815.00,23095.00
2022-05-04,22800.00,22830.00,23110.00
2022-05-05,22780.00,22810.00,23090.00
2022-05-06,22780.00,22810.00,23090.00
2022-05-07,22780.00,22810.00,23090.00
2022-05-08,22780.00,22810.00,23090.00
2022-05-09,22785.00,22815.00,23095.00
2022-05-10,22765.00,22795.00,23075.00
2022-05-11,22890.00,22920.00,23200.00
2022-05-12,22920.00,22950.00,23230.00
2022-05-13,22920.00,22950.00,23230.00
2022-05-14,22920.00,22950.00,23230.00
2022-05-15,22920.00,22950.00,23230.00
2022-05-16,22920.00,22950.00,23230.00
2022-05-17,22960.00,22990.00,23270.00
2022-05-18,22970.00,23000.00,23280.00
2022-05-19,22995.00,23025.00,23305.00
2022-05-20,23000.00,23030.00,23310.00
2022-05-21,23000.00,23030.00,23310.00
2022-05-22,23000.00,23030.00,23310.00
2022-05-23,23005.00,23035.00,23315.00
2022-05-24,23040.00,23070.00,23350.00
2022-05-25,23040.00,23070.00,23350.00
2022-05-26,23030.00,23060.00,23340.00
2022-05-27,23030.00,23060.00,23340.00
2022-05-28,23030.00,23060.00,23340.00
2022-05-29,23030.00,23060.00,23340.00
2022-05-30,23020.00,23050.00,23330.00
2022-05-31,23020.00,23050.00,23330.00
2022-06-01,23030.00,23060.00,23340.00
2022-06-02,23040.00,23070.00,23350.00
2022-06-03,23030.00,23060.00,23340.00
2022-06-04,23030.00,23060.00,23340.00
2022-06-05,23030.00,23060.00,23340.00
2022-06-06,23025.00,23055.00,23335.00
2022-06-07,23015.00,23045.00,23325.00
2022-06-08,23020.00,23050.00,23330.00
2022-06-09,23000.00,23030.00,23310.00
2022-06-10,23000.00,23030.00,23310.00
2022-06-11,23000.00,23030.00,23310.00
2022-06-12,23000.00,23030.00,23310.00
2022-06-13,23030.00,23060.00,23340.00
2022-06-14,23060.00,23090.00,23370.00
2022-06-15,23050.00,23080.00,23360.00
2022-06-16,23060.00,23090.00,23370.00
2022-06-17,23070.00,23100.00,23380.00
2022-06-18,23070.00,23100.00,23380.00
2022-06-19,23070.00,23100.00,23380.00
2022-06-20,23070.00,23100.00,23380.00
2022-06-21,23070.00,23100.00,23380.00
2022-06-22,23075.00,23105.00,23385.00
2022-06-23,23080.00,23110.00,23390.00
2022-06-24,23080.00,23110.00,23390.00
2022-06-25,23080.00,23110.00,23390.00
2022-06-26,23080.00,23110.00,23390.00
2022-06-27,23080.00,23110.00,23390.00
2022-06-28,23080.00,23110.00,23390.00
2022-06-29,23070.00,23100.00,23380.00
2022-06-30,23105.00,23135.00,23415.00
2022-07-01,23130.00,23160.00,23440.00
2022-07-02,23130.00,23160.00,23440.00
2022-07-03,23130.00,23160.00,23440.00
2022-07-04,23160.00,23190.00,23470.00
2022-07-05,23180.00,23210.00,23490.00
2022-07-06,23195.00,23225.00,23505.00
2022-07-07,23180.00,23210.00,23490.00
2022-07-08,23190.00,23220.00,23500.00
2022-07-09,23190.00,23220.00,23500.00
2022-07-10,23190.00,23220.00,23500.00
2022-07-11,23180.00,23210.00,23490.00
2022-07-12,23210.00,23240.00,23520.00
2022-07-13,23220.00,23250.00,23530.00
2022-07-14,23235.00,23265.00,23545.00
2022-07-15,23270.00,23300.00,23580.00
2022-07-16,23270.00,23300.00,23580.00
2022-07-17,23270.00,23300.00,23580.00
2022-07-18,23280.00,23310.00,23590.00
2022-07-19,23260.00,23290.00,23570.00
2022-07-20,23250.00,23280.00,23560.00
2022-07-21,23250.00,23280.00,23560.00
2022-07-22,23240.00,23270.00,23550.00
2022-07-23,23240.00,23270.00,23550.00
2022-07-24,23240.00,23270.00,23550.00
2022-07-25,23220.00,23250.00,23530.00
2022-07-26,23185.00,23215.00,23495.00
2022-07-27,23200.00,23230.00,23510.00
2022-07-28,23210.00,23240.00,23520.00
2022-07-29,23170.00,23200.00,23480.00
2022-07-30,23170.00,23200.00,23480.00
2022-07-31,23170.00,23200.00,23480.00
2022-08-01,23180.00,23210.00,23490.00
2022-08-02,23190.00,23220.00,23500.00
2022-08-03,23220.00,23250.00,23530.00
2022-08-04,23230.00,23260.00,23540.00
2022-08-05,23220.00,23250.00,23530.00
2022-08-06,23220.00,23250.00,23530.00
2022-08-07,23220.00,23250.00,23530.00
2022-08-08,23220.00,23250.00,23530.00
2022-08-09,23220.00,23250.00,23530.00
2022-08-10,23220.00,23250.00,23530.00
2022-08-11,23220.00,23250.00,23530.00
2022-08-12,23220.00,23250.00,23530.00
2022-08-13,23220.00,23250.00,23530.00
2022-08-14,23220.00,23250.00,23530.00
2022-08-15,23230.00,23260.00,23540.00
2022-08-16,23230.00,23260.00,23540.00
2022-08-17,23235.00,23265.00,23545.00
2022-08-18,23230.00,23260.00,23540.00
2022-08-19,23235.00,23265.00,23545.00
2022-08-20,23235.00,23265.00,23545.00
2022-08-21,23235.00,23265.00,23545.00
2022-08-22,23235.00,23265.00,23545.00
2022-08-23,23260.00,23290.00,23570.00
2022-08-24,23300.00,23330.00,23610.00
2022-08-25,23250.00,23280.00,23560.00
2022-08-26,23260.00,23290.00,23570.00
2022-08-27,23260.00,23290.00,23570.00
2022-08-28,23260.00,23290.00,23570.00
2022-08-29,23240.00,23270.00,23550.00
2022-08-30,23260.00,23290.00,23570.00
2022-08-31,23290.00,23320.00,23600.00
2022-09-01,23290.00,23320.00,23600.00
2022-09-02,23290.00,23320.00,23600.00
2022-09-03,23290.00,23320.00,23600.00
2022-09-04,23290.00,23320.00,23600.00
2022-09-05,23370.00,23400.00,23680.00
2022-09-06,23370.00,23400.00,23680.00
2022-09-07,23430.00,23460.00,23740.00
2022-09-08,23360.00,23390.00,23670.00
2022-09-09,23380.00,23410.00,23690.00
2022-09-10,23380.00,23410.00,23690.00
2022-09-11,23380.00,23410.00,23690.00
2022-09-12,23360.00,23390.00,23670.00
2022-09-13,23380.00,23410.00,23690.00
2022-09-14,23420.00,23450.00,23730.00
2022-09-15,23430.00,23460.00,23740.00
2022-09-16,23485.00,23515.00,23795.00
2022-09-17,23485.00,23515.00,23795.00
2022-09-18,23485.00,23515.00,23795.00
2022-09-19,23500.00,23530.00,23810.00
2022-09-20,23500.00,23530.00,23810.00
2022-09-21,23515.00,23545.00,23825.00
2022-09-22,23535.00,23565.00,23845.00
2022-09-23,23535.00,23565.00,23845.00
2022-09-24,23535.00,23565.00,23845.00
2022-09-25,23535.00,23565.00,23845.00
2022-09-26,23560.00,23590.00,23870.00
2022-09-27,23565.00,23595.00,23875.00
2022-09-28,23580.00,23610.00,23890.00
2022-09-29,23640.00,23670.00,23950.00
2022-09-30,23700.00,23730.00,24010.00
2022-10-01,23700.00,23730.00,24010.00
2022-10-02,23700.00,23730.00,24010.00
2022-10-03,23730.00,23760.00,24040.00
2022-10-04,23720.00,23750.00,24030.00
